ID	ELEMENT SYMBOL	ENERGY	INTENSITY	ISOTOPE ABUNDANCE
110230010100	Na	2310.630	3.396e-04	1.000e+00
110230010101	Na	2314.360	5.283e-04	1.000e+00
110230010102	Na	2337.840	1.623e-03	1.000e+00
110230010103	Na	2350.130	3.396e-04	1.000e+00
110230010104	Na	2361.026	1.585e-02	1.000e+00
110230010105	Na	2397.433	1.302e-02	1.000e+00
110230010106	Na	2400.360	1.698e-03	1.000e+00
110230010107	Na	2403.570	2.849e-03	1.000e+00
110230010108	Na	2414.457	4.472e-02	1.000e+00
110230010109	Na	2505.439	3.151e-02	1.000e+00
110230010110	Na	2517.810	1.319e-01	1.000e+00
110230010111	Na	2524.010	9.811e-04	1.000e+00
110230010112	Na	2546.330	4.717e-04	1.000e+00
110230010113	Na	2555.990	9.811e-04	1.000e+00
110230010114	Na	2584.700	2.453e-03	1.000e+00
110230010115	Na	2588.940	2.472e-03	1.000e+00
110230010116	Na	2595.490	9.811e-03	1.000e+00
110230010117	Na	2630.660	5.453e-03	1.000e+00
110230010118	Na	2658.060	4.528e-04	1.000e+00
110230010119	Na	2660.590	4.340e-04	1.000e+00
110230010120	Na	2701.560	3.245e-04	1.000e+00
110230010121	Na	2715.870	5.774e-03	1.000e+00
110230010122	Na	2752.271	1.234e-01	1.000e+00
110230010123	Na	2763.170	1.000e-02	1.000e+00
110230010124	Na	2790.030	1.019e-03	1.000e+00
110230010125	Na	2808.468	3.170e-02	1.000e+00
110230010126	Na	2849.930	2.717e-03	1.000e+00
110230010127	Na	2860.355	3.340e-02	1.000e+00
110230010128	Na	2865.534	2.453e-02	1.000e+00
110230010129	Na	2875.580	3.019e-04	1.000e+00
110230010130	Na	2904.890	1.113e-02	1.000e+00
110230010131	Na	2911.060	5.849e-04	1.000e+00
110230010132	Na	2940.910	6.547e-03	1.000e+00
110230010133	Na	2977.589	9.434e-04	1.000e+00
110230010134	Na	2981.970	2.679e-02	1.000e+00
110230010135	Na	3025.990	2.755e-02	1.000e+00
110230010136	Na	3092.500	4.717e-03	1.000e+00
110230010137	Na	3093.790	5.283e-03	1.000e+00
110230010138	Na	3096.780	3.755e-02	1.000e+00
110230010139	Na	3099.990	3.019e-02	1.000e+00
110230010140	Na	3116.970	9.868e-03	1.000e+00
110230010141	Na	3168.510	3.962e-04	1.000e+00
110230010142	Na	3173.920	5.283e-04	1.000e+00
110230010143	Na	3181.710	2.415e-03	1.000e+00
110230010144	Na	3198.840	1.868e-03	1.000e+00
110230010145	Na	3209.590	7.189e-03	1.000e+00
110230010146	Na	3214.220	1.019e-02	1.000e+00
110230010147	Na	3231.280	3.774e-04	1.000e+00
110230010148	Na	3244.350	4.906e-05	1.000e+00
110230010149	Na	3271.060	9.057e-04	1.000e+00
110230010150	Na	3277.320	7.113e-03	1.000e+00
110230010151	Na	3295.920	4.906e-05	1.000e+00
110230010152	Na	3303.440	2.151e-03	1.000e+00
110230010153	Na	3331.150	2.245e-03	1.000e+00
110230010154	Na	3343.280	1.811e-03	1.000e+00
110230010155	Na	3369.940	2.509e-02	1.000e+00
110230010156	Na	3409.390	4.472e-03	1.000e+00
110230010157	Na	3413.970	8.321e-03	1.000e+00
110230010158	Na	3492.770	8.491e-04	1.000e+00
110230010159	Na	3504.940	1.275e-02	1.000e+00
110230010160	Na	3546.000	8.566e-03	1.000e+00
110230010161	Na	3575.850	3.019e-04	1.000e+00
110230010162	Na	3587.460	1.125e-01	1.000e+00
110230010163	Na	3627.900	1.509e-03	1.000e+00
110230010164	Na	3632.760	8.491e-04	1.000e+00
110230010165	Na	3643.655	1.264e-02	1.000e+00
110230010166	Na	3698.150	1.792e-03	1.000e+00
110230010167	Na	3703.330	4.132e-03	1.000e+00
110230010168	Na	3712.726	4.811e-04	1.000e+00
110230010169	Na	3723.740	2.943e-03	1.000e+00
110230010170	Na	3734.632	6.981e-04	1.000e+00
110230010171	Na	3744.820	3.340e-04	1.000e+00
110230010172	Na	3770.370	9.623e-04	1.000e+00
